記憶體	内存
編碼區段	代码段
合作	协作
折疊	折叠
校對文稿	校对文本
集合	收集
色彩	颜色
色彩型式	颜色类型
行；直行	列
命令行	命令行
註解	注释
承諾	提交
共用閘道介面	公共网管接口
壓緊	压缩
相容性	相容性
相容	相容
編譯	编译
完成	完成
遵循	符合
適用	适合
編譯器	编译器
組件	组件
合成	合成
壓縮	压缩
電腦;計算機	电脑；计算机
電腦輔助設計	电脑基础设计
概念	概念
條件	条件
條件內容	条件内容
條件區段	条件
機密性	机密性
組態	配置
組態編輯器	配置编辑器
組態	配置
符合性	符合性
符合性條款	符合性条款
符合性級別	符合性级别
符合性測試	符合性测试
符合性文件	符合性文档
連接伺服器	连接到服务器
連接；連結	连接
一致	一致
主控台	控制台
常數	常量
限制	限制
容器	容器
包含的文件	包含的文档
內容開發者	内容开发者
內容元件	内容元素
內容產生	内容产生
內容模型	内容模型
內容協商	内容协商
內容提供者	内容提供者
內容選擇	内容选择
內容集	内容集
內容符記元件	
內容	内容
上下文	上下文
快顯功能表	上下文选单
控制	控制
控制項	控制项
控制台	控制面板
控制(項)工具列	控制工具条
便利	便利
轉換	转换
轉換工具	转换工具
複製	拷贝；复制
正確	正确
共同變異數	
建立;新建	建立；新建
身份碼	
關鍵區塊	关于块
跨平台編譯器	跨平台编译器
跨平台	跨平台
目前的	当前
目前文件	当前文档
目前圖示	当前图标
游標	指针
自訂	自定义
客製化	定制
客製化	定制
剪下	剪切
資料；數據	数据
資料類型	数据类型
資料元件	数据元
資料模型	数据模型
資料來源	数据来源
資料綱要	数据纲要
資料集	数据集
資料結構	数据结构
資料庫	数据库
資料庫伺服器	数据库服务器
資料流	数据流
資料型式	数据类型
資料型式性質	数据类型属性
資料值屬性	数据值属性
日期與時間	日期时间
死鍵	死键
死鎖	死锁
Debian 作業系統	Debian Linux操作系统
除錯器	调试器
可判定的	
十進位	十进制
宣告	声明
宣告符	声明符
已宣告的	已声明的
分解	分解
解密	解密
推演	推论
預設	默认值
延遲請求驗證 	延时请求验证
定義必要屬性	定义必要属性
定義屬性值型式	定义属性值类型
定義	定义
磁碟重組	磁盘整理[工具]
刪除	删除；删除
傳遞的影像	传递图片
傳遞上下文	传递上下文
傳遞政策	传递政策
傳遞單位	转递单位
相依性	依赖性
不宜用	不建议
深度	深度
後代；子節點	子孙；后代
桌面背景	桌面背景
桌上型電腦	桌面计算机
桌面視窗	桌面窗口
目的地	目的
解構	析构
詳細資訊	详细信息
裝置	设备
裝置無關	设备无关
裝置無關	设备无关
圖	图
對話	对话
對話框	对话框
數位	数字
數位權利管理	
數位簽章	数字签名
變異維度	
導引	指示
指揮器，導引器	
目錄	目录
目錄導航	目录导航
失效；失能；停用	无效
反組譯	反编译
探索	探索
探索服務 	探索服务
離散選擇	离散选择
離散項目 	离散项目
磁碟	磁盘
磁碟機	磁盘驱动器
磁碟管理	磁盘管理
磁碟作業系統	磁盘操作系统
顯示；顯示器	显示器
分配；發行版	发行
文件	文档
文件字元集	文档字符集
文件實體	文档实体
文件語言	文档语言
文件模型	文档模型
文件物件模型	文档对象模型
文件順序	文档顺序
文件設定檔	文档轮廓
文件式樣語意與規格語言	文档样式语义与规范语言
文件樹	文档树
文件型式	文档类型
文件型式宣告	文档类型声明
文件型式定義 	文档类型定义
文件化	文档化
網域	域
網域名稱伺服器	域名
網域名稱伺服器	域名服务器
每英吋點數	点每英寸
草稿(匣)	草稿
拖曳	拖放
下拉式選單	下拉选单
雙音多頻	
Dublin Core 元資料集	
複製；重複	复制
動態內容	动态内容
回應	回应
編輯	编辑
編輯書籤	编辑书签
編輯巨集	编辑Mcaro
電子書技術	电子书技术
電子資料交換	电子数据交换
元件	元素
元件內容	元素内通
元件名稱	元素名称
元件類型	元素类型
元件類型宣告	元素类型声明
電子郵件	电子邮件
嵌入式	嵌入式
嵌入式物件	嵌入式对象
嵌入式系統	嵌入式系统
嵌入式網路請求	嵌入式WEB请求
裝飾運算子	修饰运算符
空	空
空元件標記	空元素标记
啟用	使有效
封裝	封装
加密	加密
終點，末端，端點	终点
結束	结束
結束標記	结束标记
推導	
輸入	进入
實體	实体
實體參考	实体参考
登錄點，進口點，入口	入口
列舉屬性	列举属性
列舉器	列举器
場景	场景
等價	等价
錯誤	错误
跳脫；逸出	逃出
逸出序列	逃出顺序
事件	事件
事件驅動	事件驱动
異常；例外	例外；异常
可執行內容	可执行内容
執行	执行
離開	退出
結束碼	退出码
擴充名	扩展名
顯式到期時間	显式到期时间
顯性法則	显式规则
顯式用戶請求	显式用户请求
顯式Web請求	显式WEB请求
顯式未定義行為	显式未定义行为
匯出	导出
表示式；表示	表达式
延伸式二進碼十進制交換碼	扩充二进制编码十进制交换码
延伸鏈結	扩充连接
延伸預定義元件	扩充预定义元素
擴充性	扩充性
可延伸連結語言	
可延伸標示語言	XML
可延伸樣式表單語言；XSL語言	
延伸	扩充
外部的	外部
外部實體	外部实体
外部標記宣告	外部标记声明
外部可確定 ID	
抽取；解壓縮	解压缩
分面	面
設施；設備	工具
FAT-32檔案配置系統	FAT32
嚴重錯誤	严重错误
常用檔案	常用文件
最愛的	最喜欢的
特徵	特征
回饋	反馈
籬笆	栅栏
表格直譯式演算法	
欄位；欄	字段
檔案；檔	文件
檔案瀏覽器	文件浏览器
檔案延伸	文件扩展
檔案傳送協定	文件传输协议
檔名產生	文件名产生
過濾器	过滤器
過濾	过滤
尋找	查找
尋找下一筆	查找下一个
防火牆	防火墙
韌體	固件
先進先出	先进先出
首節點定律	首节点规则
第一手	第一手
旗標	旗；标记
快閃	FLASH
磁碟片	软盘
磁碟片	软盘
軟碟機	软驱
資料夾	文件夹
後繼元件	后续元素
字型	字体
腳標	脚标
前景	前景
表格;表單	表格；表单
表格控制	表单控制
表格項目	表单项目
格式化；格式	格式化
框架	框架
自由軟體基金會	自由软件基金会
剩餘空間	剩余空间
全螢幕	全屏
功能群組	功能组
功能測試	功能测试
功能精靈	功能精灵/向导
閘道器	网关
通用實體	通用实体
GPL 通用軟體授權	GPL协议
同屬	通用
同屬識別符	通用标识符
GIF 圖形交換格式	GIF图形格式
全域；全球	全球
字符	字符
	
GNU/Linux	GNU/Linux
前往	前往
圖型的	图形
圖形使用者介面	图形用户界面
圖形	图形
圖形裝置介面	图形设备接口
灰階	灰阶
灰名單	灰名单
柵；格子	格子
群組識別碼	组ID号
旁註群集	
處置	处理
硬碟	硬盘
硬體	硬件
諧調適應	
諧調使用者體驗	
標頭檔案	头文件
高度	高
說明;求助(訊息)	帮助
說明檔案	帮助文件
預設到期時間	预定到期时间
隱藏	隐藏
高級	高级
高階	高阶
高亮度;反白;凸顯(標示)	高亮
提示	提示
歷史記錄	历史
個人資料夾;首頁	个人文件夹
家目錄；起始附錄	个人文件夹起始目录
首頁	首页
水平欄標	
主機	主
主機語言 	主语言
主機	主机
主網頁、主頁	主页
主機名	主机名
超文件標示語言	HTML 超文本标记语言
超文件傳送協定	HTTP 超文本传输协议
混合文件	混合文档
超鏈接	超链接
超本文	超文本
圖示	图标
等同	等同
已識別資料	已识别数据
識別符	标识符
表意文字	表义字符
繼承	继承
影像	图片
影像資料	图片数据
影像地圖	图片地图
實作	执行
實作符合性聲明	执行符合性声明
實作平臺	执行平台
隱性法則	隐性规范
隱式網路請求	隐性WEB请求
匯入	导入
匯入閉包 	导入关闭
非使用中頁面	非活动页
流入	流入
收件匣;信箱	收件箱
包含檔	包含文件
包含的	包含的
不一致的	不一致
縮排	缩进
獨立軟體供應商	独立软件供应商
獨立網	独立WEB
索引；指標	索引
索引循序存取法	
索引色	索引色
索引的	索引的
間接包含	间接包含
個體	独立
個體價值性質	独立值属性
推理	推理
通知	通知
資訊空間	信息空间
資訊 (處理中)	信息
參考本文	参考文本
行內	行内
輸入組態	输入配置
輸入項目	输入项目
輸入(資料)	输入(数据)
輸入(程序)	输入(程序)
查詢	查询
插入	插入
插入欄	插入列
插入檔案	插入文件
插入列	插入行
安裝	安装
實例	实例
實例資料	实例数据
實例資料節點	实例数据节点
舉例	举例
整數	整数
積體電路	集成电路
完整性	完整性
智慧財產權	
增強	增强
互動;交互作用	交互
交談式	交互式
互動使用者	交互式用户
介面	界面；接口
介面定義語言 (IDL)	接口定义语言
中間檔案	中间文件
內部的	内部的
內部實體	内部实体
內部錯誤	内部错误
國際標準組織	国际标准组织
國際化資源識別符	国际化资源标识符
網際網路	互联网
網際網路控制訊息協定	
網路電話	网路电话
網際網路協定	网络协议
網路聊天	网络聊天
網際網路服務提供者	网络服务提供商
交互運作性	可交互性
直譯式語言	解释语言
直譯	解释
直譯器語境	解释程序环境
內部網路	局域网
固有維度	固有维度
無效	无效的
反函數	反函数
不可視	不可见
發出;議題	议题；
項目	项目
Java語言標準	Java语言规范
Java虛擬機器	Java虚拟机
曲線下載	
JPEG圖形格式	JPEG图片格式
搖桿	
垃圾信(件)	垃圾邮件
核心	核心
金鑰;鍵	钥匙；键
金鑰繫結	
鍵入	键入
金鑰定位	键定位
金鑰管理	钥匙管理
金鑰名稱	键名
中止	中止
抽象類別	抽象类
抽象宣告符	抽象声明符
摘要檔案	抽象文件
存取遮罩	
ACE 存取控制項 	
帳號	帐户
累加器	累加器
獲取	获得
活化子	激活
作用的；活動的	活动，现用
介面卡；調適器	适配器
加法運算子	加法运算符
定址模式	取址方式
取址運算子	取址运算符
相簿；專輯	
演算法	算法
別名	别名
混淆；鋸齒；取樣失真	欠真
對齊	对齐
允許；容許	允许
歧義運算式	歧义表达式
分析器	分析器
角	角
應答	应答
立即應答	立即应答
應答逾時	应答超时
消除鋸齒	消除锯齿；抗锯齿
反對數	反对数
套用	应用
弧度	弧度
檔案位置	档案位置
壓縮檔案；存檔；歸檔	归档
算術移位	算术移位
排列	排列
陣列	数组
人工智慧	人工智能
演出者名稱	艺术家
遞增	递增
外觀	
組合語言	汇编语言
結合；關聯；協會	关联；协会
結合性	结合性
附件	附件
音訊光碟	音频光盘
音訊壓縮器	音频压缩
音訊串	音频流
AVI影音格式	视听交叉格式
輔助檔案	辅助文件
平均資料流量	平均数据率
平均值	平均值
背襯視窗	
背景樣式	背景样式
反向引用	反向引用
平衡	平衡
帶；頻帶	道带；频带；[地]带 
頻寬	带宽
橫幅	横幅
條碼	条码
密件副本	密件抄送
節拍	节拍
行為	行为
最好；最佳	最好；最佳
斜面；斜角	斜角
斜入	
斜出	
貝茲控制點	贝塞尔点
雙立體	立方体
雙向	双向
雙線性過濾	双线性过滤
雙語	双语
二元搜尋	二分搜索
二元樹	二叉数
繫結	邦定
繫結內容	邦定内容
位元欄位	位字段
點陣圖	位图
逐位元	按位
位元運算子	按位运算
混合映像	混合呈图
混合	混合
映像方向	呈图方向
塊狀方塊	块符号
阻斷的橫幅	阻止的横幅
阻斷的彈出式視窗	阻止的弹出式窗口
阻斷作業	阻止操作
塊狀圖案	块
模糊	模糊
主文；本體	[主]体
樣板；庫存碼	样板
布林	布尔
可開機光碟	可引导光盘
啟動載入器	自展程序
邊框	边框
上邊框	上边框
下邊框	下边框
邊框色彩	边框颜色
邊框圈選	
邊框樣式	边框样式
邊框寬度	边框框宽度
底邊界	底边界
界限	[受]束缚；界
界限欄	界限列
盒狀收縮	
盒狀放射	
括號對稱	括号匹配
有括號的運算式	带括号的表达式
打散	打散
增亮	增亮
廣播位址	广播地址
中斷的連結	中断的连接
橋接路由器	桥路由器
瀏覽按鈕組	浏览按钮组
瀏覽外觀	浏览外观
瀏覽字型	浏览字体
筆刷	[画]笔
筆刷頭	笔头
協同控制	协同控制
緩衝器；緩衝；緩衝區	缓冲；缓冲器；缓冲器[区]
緩衝區欠載運行	缓冲区欠载运行
大量	整体；大量
大量複製程式	大量复制程序
大量資料錄欄位交換	大量记录字段交换
大量資料列擷取	多行存取
燒錄	刻(烧)录
燒錄設定值	刻(烧)录设置
燒錄程序	刻(烧)录程序
燒錄保證	刻(烧)校验
匯流排	总线
業務邏輯層	商业逻辑层
業務物件	商业物件
業務流程	商业流程
業務規則	商业规则
按鈕暗影	按钮阴影
按鈕表面	按钮表面
按鈕反白	按钮反白
按鈕淡影	按钮淡影
略過清單	
C 呼叫慣例	C调用惯例
C 連繫規範	C联系规范
封包專案節點	
封包檔案產生器	
校準	校准
呼叫	调用；呼叫
呼叫樹	调用树
回呼	回调
回呼欄位	回调字段
回呼函式	回调函数
呼叫慣例	呼叫惯例
攝影機	摄影机
取消	取消
候選函式	候选函数
候選鍵	候选键
效能檢視器	
插入號	倒 v 号
回鍵	回车
CRLF 復位換行組	回车换行
卡通	卡通
串聯；重疊視窗；重疊顯示	级联
案例	案例
卡帶	卡式磁带
轉型	转换
分類	分类
因果 ID	因果ID
副本	抄送
逆時針	逆时针
CD 音訊特性；CD 音訊內容	CD音频属性
複製光碟	复制光盘
置中對齊	居中对齐
對齊表單中央	对齐表单中央
置中對齊	居中对齐
鏈；鏈接	链
變更	变更；改变
CDF 頻道定義格式	频道定义格式
字元	字符
圖表	图[表]
勾選；檢查；核取	检查
簽入	签入
簽出	签出
總和檢查碼	检验（查）和
晶片	芯片
凹刻	凹刻
凸刻	凸刻
選取	选择
套索	套索
區塊包裝函式	
圓形收縮	圆形收缩
圓形放射	圆形放射
循環相依	循环依赖
循環參考	循环引用
類別衍化清單	
類別識別項	类ID
清除	清除
初始狀態的電腦	裸机
按	点(单)击
素材檔案	剪裁文件
裁剪路徑	剪裁路径
時鐘	时钟
順時針	顺时针
仿製；仿製品	克隆
叢集	聚类；簇；群集[器]
解編碼器	代码转换器
強制型轉	类型强制转换
縮回上層	
理序；自動分頁	理序
定序；校對	理序
合併	组合
命令	命令
命令集	命令集
註解定界符	注释定界符
移除註釋	移除注释
委任	委任
通用控制項	通用控制
通用資料錄	公共数据记录
通用對話方塊	通用对话框
COFF 通用物件檔案格式	通用目标文件格式
比較元	比较
比較	比较
比對子；比較器	比较器
編譯器缺失報告	编译器缺陷报告
編譯時期錯誤	编译期错误
互補；補色	补
完整物件	完整目标
CISC 複雜命令集電腦 	复杂指令集计算机
複雜腳本	复杂脚本
複雜繫結	复杂邦定
COM 元件物件模型	构件对象模型
撰寫	组成
複合文件	复合文档
電腦輔助翻譯	计算机辅助翻译
串連索引鍵	拼接键
串連運算子	拼接操作
具體	具体
並行	并发性
同時連線	并发连接
條件運算式	条件表达式
確認	确认
衝突	冲突
連線切斷	连接断开
使用中連線	连接中
連線中斷	连接中断
固定位元率	固定比特率
強制等比例	约束比例
建構式；建構函式	构造
洽詢	接触
包含	包含
對比；對比度	反差，对比度
版權	版权
計數	计数
封套	覆盖
爆音	
當機	当机
開發小組	开发小组
關鍵區段；臨界區段	临界区（段）
剪裁	剪除
交互編輯	交叉编辑
交錯淡變	淡入淡出
十字游標	十字指针
交叉資料表查詢	交叉制表查询
跨線程	跨线程
加密	密码术
提示表	插进指令表
貨幣	货币
曲線	曲线
重覆循環	
循環冗餘檢查	循环冗余校验
儀表板	仪表盘
DAO 資料存取物件	数据访问对象
資料中斷點	数据断点
資料速率；資料傳輸率	数据率
資料繫結	数据邦定
資料包	数据报
資料包通訊端	数据报套接字
資料工作表	数据工作表
分貝	分贝
無作用程式碼	死[代]码
除錯	调试，排错
解碼器	译（解）码器
裝飾名稱	装饰名
遞減	减量；减去
深層複製	纵深副本
延遲的	延期
變形項	变形
去交錯	
延遲游標	等待指针
延遲演算上色	
傳送延後	延时传送
延遲載入	延时载入
委派	委派
全部刪除	全部删除
刪除行	删除行
刪至行尾	删除至行尾
刪至行首	删除至行首
定界符	定界符
三角方向	三角方向
部署	部署
解參考	间接引用
子類別；衍生類別	导出类[别]
衍生型式	导出类型
遞減；遞減排序	降序
描述	描述
不選；取消選取	取消所选
還原序列化	
設計	设计
指定符	指定符
設計者	设计者
設計者主程式	设计者主程序
DTC 設計時期控制項	设计期控制
設計時期物件	设计期对象
僅限設計時期	设计期的
桌上型；桌面	桌面
銷毀	销毁
拆離	分开
細節	细节
偵測	检测
開發者	开发者
開發環境	开发环境
程式開發伺服器	程序开发服务器
DCB 控制區塊資料	设备控制块
裝置驅動程式	设备驱动程序
診斷服務	诊断服务
撥號	拨号
隨需撥號	按需拨号
對話方塊列	对话框列
DDX 對話資料交換	对话数据交换
DDV 對話資料驗證	对话数据校验
DLU 對話方塊單位	对话单元
撥號網路配接卡	拨号网络适配器
撥號網路連線	拨号网络连接
撥號伺服器	拨号服务器
差異檢視器	差异查看器
擴散	扩散
數位化日期	数字化日期
數位視訊	数字视频
數位化	数字化
數字	数字
合體字；有向圖	有向图  
維；維度；尺度；尺寸	维；维度；尺度；尺寸
無效文字	灰暗(无效)文字
直接電纜線連線	直接电缆连接
直接連接	直接连接
方向	方向
目錄清單方塊	目录清单对话框
反組譯器	反汇编
DAO 光碟一次寫錄 	光盘刻录一次
免責聲明	免责声明
中斷	断开连接
斷續圖形	断续图形
磁碟標籤	光盘卷标
分派	分派
分散式	弥散的
分配介面	分配界面
處置	处理；处置
溶解	溶解
扭曲；失真	失真，畸变
分配；分散	分布；分配
發行版	发行版
分散式應用程式	分布式应用程序
DCOM 分散式元件物件模型	分布式构件对象模型
DCE 分散式運算環境 	分布式计算环境
分散式管理環境	分布式管理环境
DTU 分散式交易協調器	分布式处理器
遞色	发抖
分割線樣式	分割线样式
區塊；部門	除
停駐	入坞
文件傳閱精靈	文档传阅精灵
文件模板	文档模板
加亮	加亮
網域字尾	域名后缀
主控制	主控
圓點色彩	点颜色
句點運算子	点运算
點狀	点形状
圓點大小	点大小
點距；圓點間距	点距
圓點變量	点变量
快按兩次	双击
兩倍大小	双倍大小
兩倍行間距	两倍行距
DBCS 雙位元組字元集	双字节字符集
倍精度	双精度
雙面水平列印	双面水平打印
雙面垂直列印	双面垂直打印
向下鍵	向下键
按下狀態	按下状态
降級	降低密级  
下載	下载
下降混合	下降混合
降低取樣	降低取样
下游	下游
不透明處理	
驅動	驱动
驅動程式	驱动器；驱动程序
DDK 驅動程式開發套件 	驱动程序开发包
驅動程式磁片	驱动器磁盘
磁碟機代號	驱动器名
驅動程式模組	驱动程序模块
滴落深度	滴落深度
下拉	下拉
水滴半徑	水滴半径
滴落陰影	滴落阴影
置放來源	置放来源
置放目標	置放目标
下拉式組合方塊	下拉式组合框
遺漏框	遗漏框
滴管	滴管
雙重介面	双重界面
雙頻道 (雙語)	双通道
虛設	哑，虚设
傾印	转储  
輸出電影	转储电影
持續時間；歷時	持续时间
DVD 多功能數位碟片	DVD；数字[多功能]光盘
動態繫結	动态邦定
動態資料交換 	动态数据交换
動態超文字標記語言	动态超文本标记语言
動態連結	动态连接
DLL 動態連結程式庫	动态连接库
簡易操作	易用
易移模式	易移除
易用更新	易更新
橢圓	椭圆
邊緣	边缘
可編輯性	可编辑性
編輯器	编辑器
撰寫風格	编辑风格
效果	效果
效果種類	效果类型
有效位址	有效抵制
退出；彈出	弹出
經過時間	经历时间
升降移動	升降移动
升降感應器	升降感应器
橢圓形工具	椭圆工具
省略	省略
強調	强调
模擬	仿真
封閉；外殼；附件	
編碼	编码
圍繞型式	环绕类型
加密	加密
加密觸發器	加密触发器
端；結束	结束
結束端點	结束端点
檔案結尾	文件结束
時間終點；結束時間	结束时间
結束軌	结束轨
終端使用者	最终用户
EULA 使用者授權合約	最终用户许可协议
工程師；工程	工程师
增強型中繼檔案	增强型元文件
放大	放大
進入佇列	排队
企業版	企业版
入口；項；項目；登錄	入口
列舉	列举
列舉性質	枚举属性
列舉型式	枚举类型
分封線；封套	包；封
環境	环境
結尾碼	结束码
等式運算子	等运算
等化器	等化器
等聯結	等连接
抹除	擦除
橡皮擦工具	橡皮擦工具
錯誤執行	错误执行
錯誤檢查	错误检查
錯誤更正；誤差校正	纠错
錯誤處理常式	错误处理器
錯誤訊息	错误信息
錯誤代號	错误代码
逸出字元	转义字符
事件冒出	事件产生
事件處理常式	事件处理器
事件介面	事件接口
事件收聽器	事件侦听器
事件日誌	事件日志
事件對映	事件映射
事件遮罩	
事件物件	事件对象
事件程序	事件程序
事件登記	事件登记
事件回應物件	事件应答对象
事件方案	事件计划
事件腳本程序	事件脚本程序
事件接收	事件接受
事件接收對映	事件接受映射
事件接收	事件接收
事件來源	事件来源
事件驅動	事件驱动
事件處理程序	事件处理程序
事件就緒	事件就绪
事件接收	事件接受
跳線式	每隔行
跳像素	每隔像素
辨識項集	标志项集
範例	举例
異常宣告	异常声明
異常處理常式	异常处置器
異常處理展開	异常处理展开
異常規格	异常规则
排除	排除
互斥模式	互斥模式
執行字元集	执行字符集
豁免	免除
存在	存在
現有	存在
退出並轉回	退出并返回
退出求助	退出帮助
展開；擴展	扩大；展开
展開分支	展开分支
展開資料夾	展开文件夹
展開圈選	展开圈选
展開一層	展开一层
擴充記憶體	扩充内存
專家模式	专家模式
外顯初始設定式	显式初始化
外顯介面成員實作	显示接口成员执行
外顯連結	显示连接
外顯參考	显示参考
檔案總管	资源管理器
指數	阶
公開	公开
運算式評估器	表达式求值
運算陳述式	表达式语句
延伸；擴充	扩充
擴充器；延伸器	扩充器
XSLT 可延伸樣式表語言轉換	可扩展样式表语言转换
延伸記憶體	扩展内存
滴管工具	滴管工具
淡變	淡变
淡入	淡入
淡出	淡出
淡變速度	淡变速度
失敗；失效	失败
容錯移轉	失效后资源备份
快速複製	快速复制
正向快轉	正向快转
快速播放	快速播放
反向快轉	反向快转
快速掃瞄	快速扫描
快速載入區域	快速载入区域
羽化	羽化
羽化填充	羽化填充
羽化選擇	羽化选择
特徵樹	特征树
提取	存入文件
欄定界符	字段定界符
欄位型式	字段类型
FAT 檔案分派表	文件分配表
檔案關聯管理	文件关联管理
檔案緩衝區	文件缓冲区
檔案擷取	文件截取
檔案個數	文件计数
檔案描述	文件描述
檔案例外	文件例外
檔案處置	文件处理
檔案增量	文件增量
檔案輸出入	文件输入/输出
檔案長度	文件长度
檔案表列	文件列表
檔案鎖定	文件锁定
檔案指標	文件指针
檔案性質	文件性质
檔案範圍	文件范围
檔案狀態	文件状态
檔案系統	文件系统
檔案時間	文件时间
檔案追蹤器	文件跟踪器
檔案樹	文件数
檔案型式	文件类型
檔案名稱	文件名
副檔名	文件扩展名
檔案伺服器應用	文件服务器应用
填充	填充
填充色彩	填充颜色
填充因子	填充因素
填充段	填充段
填充式樣	填充样式
填充型式	填充类型
實心三角形	实心三角形
軟片；影片	电影
影片片段	电影片断
濾波器	过滤器，筛选程序
最終化	最终化
最終化光碟	最终化光盘
最終化磁碟	最终化磁盘
檔案內尋找	文件内查找
多重檔案尋找	在多个文件内查找
專案內尋找	在项目内查找
尋找上一個	查找上一个
尋找符號	查找符号
尋找目標	查找内容
